teamID,offense_name,offense_weight,offense_height,offense_age,offense_birthCity,offense_birthState,offense_birthCountry,offense_position,offense_jersey,offense_xp,offense_status,offense_headshot
5,Harrison Bryant,230.0,77.0,24,Gray,GA,USA,Tight End,harrison-bryant,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040774.png
5,Nick Chubb,227.0,71.0,27,Cedartown,GA,USA,Running Back,nick-chubb,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3128720.png
5,Jack Conklin,308.0,78.0,28,Plainwell,MI,USA,Offensive Tackle,jack-conklin,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2979534.png
5,Amari Cooper,210.0,73.0,28,Miami,FL,USA,Wide Receiver,amari-cooper,8,active,https://a.espncdn.com/i/headshots/nfl/players/full/2976499.png
5,Jaelon Darden,173.0,68.0,24,Houston,TX,USA,Wide Receiver,jaelon-darden,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4243830.png
5,Dawson Deaton,306.0,77.0,23,Frisco,TX,USA,Guard,dawson-deaton,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241848.png
5,Joshua Dobbs,216.0,75.0,28,Alpharetta,GA,USA,Quarterback,joshua-dobbs,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3044720.png
5,Demetric Felton Jr.,189.0,69.0,24,Temecula,CA,USA,Running Back,demetric-felton-jr,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035826.png
5,Drew Forbes,308.0,77.0,26,Bonne Terre,MO,USA,Guard,drew-forbes,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3910156.png
5,Jerome Ford,210.0,70.0,23,Tampa,FL,USA,Running Back,jerome-ford,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4372019.png
5,Marquise Goodwin,179.0,69.0,32,Garland,TX,USA,Wide Receiver,marquise-goodwin,9,active,https://a.espncdn.com/i/headshots/nfl/players/full/15839.png
5,Jakeem Grant Sr.,172.0,67.0,30,Mesquite,TX,USA,Wide Receiver,jakeem-grant-sr,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2577641.png
5,Joe Haeg,304.0,78.0,29,Lake Shore,MN,USA,Offensive Tackle,joe-haeg,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2573103.png
5,Mike Harley Jr.,180.0,70.0,25,Fort Lauderdale,FL,USA,Wide Receiver,mike-harley-jr,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240625.png
5,Nick Harris,293.0,73.0,24,Inglewood,CA,USA,Center,nick-harris,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4039016.png
5,James Hudson III,313.0,77.0,23,Toledo,OH,USA,Offensive Tackle,james-hudson-iii,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4258181.png
5,John Kelly Jr.,208.0,70.0,26,Detroit,MI,USA,Running Back,john-kelly-jr,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/3915381.png
5,Wes Martin,315.0,75.0,26,West Milton,OH,USA,Guard,wes-martin,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3128263.png
5,Nate McCrary,213.0,72.0,24,Muskegon,MI,USA,Running Back,nate-mccrary,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4820592.png
5,Zaire Mitchell-Paden,257.0,77.0,23,Rockville,MD,USA,Tight End,zaire-mitchell-paden,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4876006.png
5,Kellen Mond,212.0,75.0,23,San Antonio,TX,USA,Quarterback,kellen-mond,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4240904.png
